"annee";"code_postal_acheteur";"amm";"quantite_produit";"conditionnement";"eaj";"achat_etranger"
2022;"01750";"2100221";"10";"kg";"Non";"Non"
2022;"01290";"9200215";"1.1";"kg";"Non";"Non"
2022;"01290";"9200436";"10";"l";"Non";"Non"
2022;"01290";"9400008";"0.92";"l";"Non";"Non"
2022;"01290";"9400012";"1.65";"l";"Non";"Non"
2022;"01290";"9400085";"18";"l";"Non";"Non"
2022;"01290";"9400280";"5";"kg";"Non";"Non"
2022;"01290";"9400485";"10";"l";"Non";"Non"
2022;"01290";"9500147";"20.5";"kg";"Oui";"Non"
2022;"01290";"9500595";"4";"l";"Non";"Non"
2022;"01290";"9600093";"5";"l";"Non";"Non"
2022;"01290";"9600548";"160";"l";"Non";"Non"
2022;"01290";"9700070";"1.4";"kg";"Non";"Non"
2022;"01290";"9700332";"5";"l";"Non";"Non"
2022;"01290";"9700401";"1";"kg";"Non";"Non"
2022;"01290";"9800018";"20";"l";"Non";"Non"
2022;"01290";"9800085";"20";"l";"Non";"Non"
2022;"01290";"9800098";"5";"kg";"Non";"Non"
2022;"01290";"9800182";"140";"l";"Non";"Non"
2022;"01290";"9800245";"16";"kg";"Non";"Non"
2022;"01290";"9800259";"300";"l";"Non";"Non"
2022;"01290";"9800262";"1";"kg";"Non";"Non"
2022;"01290";"9800336";"36.55";"l";"Non";"Non"
2022;"01290";"9800344";"3.44";"l";"Non";"Non"
2022;"01290";"9800420";"0.6";"l";"Non";"Non"
2022;"01290";"9800474";"7.5";"kg";"Non";"Non"
2022;"01290";"9800481";"45";"l";"Non";"Non"
2022;"01290";"9900037";"0.06";"kg";"Non";"Non"
2022;"01290";"9900047";"125";"l";"Non";"Non"
2022;"01290";"9900251";"640";"l";"Non";"Non"
2022;"01290";"9900257";"97.8";"kg";"Oui";"Non"
2022;"01300";"2000003";"58";"l";"Non";"Non"
2022;"01300";"2000018";"1160";"kg";"Non";"Non"
2022;"01300";"2000044";"30";"l";"Non";"Non"
2022;"01300";"2000122";"0.19";"l";"Non";"Non"
2022;"01300";"2000125";"32.34";"kg";"Oui";"Non"
2022;"01300";"2000201";"11.43";"l";"Non";"Non"
2022;"01300";"2000299";"8";"l";"Non";"Non"
2022;"01300";"2000327";"26";"l";"Non";"Non"
2022;"01300";"2000536";"9";"kg";"Non";"Non"
2022;"01300";"2010023";"1";"l";"Non";"Non"
2022;"01300";"2010130";"110";"kg";"Non";"Non"
2022;"01300";"2010280";"5.67";"l";"Non";"Non"
2022;"01300";"2010495";"75";"kg";"Non";"Non"
2022;"01300";"2010513";"20";"kg";"Non";"Non"
2022;"01300";"2010531";"20";"l";"Non";"Non"
2022;"01300";"2020021";"20";"l";"Non";"Non"
2022;"01300";"2020474";"10";"l";"Non";"Non"
2022;"01300";"2030323";"2.17";"l";"Non";"Non"
2022;"01300";"2030332";"10";"l";"Non";"Non"
2022;"01300";"2030404";"290";"l";"Non";"Non"
2022;"01300";"2040146";"2.55";"l";"Non";"Non"
2022;"01300";"2050046";"1";"kg";"Non";"Non"
2022;"01300";"2060050";"7";"l";"Non";"Non"
2022;"01300";"2060088";"560";"l";"Non";"Non"
2022;"01300";"2060098";"6.6";"l";"Non";"Non"
2022;"01300";"2060127";"0.2";"l";"Non";"Non"
2022;"01300";"2060131";"5";"l";"Non";"Non"
2022;"01300";"2080029";"8";"l";"Non";"Non"
2022;"01300";"2080094";"17";"kg";"Non";"Non"
2022;"01300";"2080102";"10";"l";"Non";"Non"
