annee;code_postal_acheteur;amm;substance;cas;quantite_substance;classification;classification_mention;achat_etranger
2022;97118;2090093;glyphosate;1071-83-6;2.25;Env A;;Non
2022;97118;2130067;cyflufenamid;180409-60-3;0.05;Env A;;Non
2022;97118;9000222;soufre;7704-34-9;7;Autre;;Non
2022;97118;9900227;cuivre de l'hydroxyde de cuivre;20427-59-2;4;Santé A;Substitution;Non
2022;97122;2170139;pyrimiphos-methyl;29232-93-7;3.6;Santé A;;Non
2022;97122;8100472;pyrimiphos-methyl;29232-93-7;5;Santé A;;Non
2022;97123;7900323;2,4-mcpa;94-74-6;3.6;Env A;;Non
2022;97123;7900323;dicamba;1918-00-9;0.3;Env B;;Non
2022;97150;2060050;metrafenone;220899-03-6;0.07;Env A;;Non
2022;97150;2090119;cuivre du sulfate tribasique;12527-76-3;0.6954;Env A;Substitution;Non
2022;97150;2090132;cuivre du sulfate tribasique;12527-76-3;0.549196;Env A;Substitution;Non
2022;97150;2090132;zoxamide;156052-68-5;0.0824;Env A;;Non
2022;97150;2110147;fludioxonil;131341-86-1;0.37;Env A;;Non
2022;97150;2130152;fluopyram;658066-35-4;0.03;Env A;;Non
2022;97150;2130152;trifloxystrobine;141517-21-7;0.03;Env A;;Non
2022;97150;2140270;ametoctradine;865318-97-4;0.296;Env A;;Non
2022;97150;2150074;phosphonate de disodium;13708-85-5;0.73;Autre;;Non
2022;97150;2160963;fluxapyroxad;907204-31-3;0.036;Santé A;;Non
2022;97150;2170085;dithianon;3347-22-6;0.365;Env A;;Non
2022;97150;2170085;phosphonate de potassium;13492-26-7;1.638704;Autre;;Non
2022;97150;2171119;mandipropamide;374726-62-2;0.095;Env A;;Non
2022;97150;2171119;zoxamide;156052-68-5;0.0912;Env A;;Non
2022;97150;2180404;bacillus subtilis souche qst 713;68038-70-0;;Autre;;Non
2022;97150;2190499;soufre;7704-34-9;12.306;Autre;;Non
2022;97150;8700107;metirame;9006-42-2;1.022;Env A;;Non
2022;97150;9800421;spiroxamine;118134-30-8;0.22;CMR;;Non
2022;97160;2010427;quizalofop-p-ethyl;100646-51-3;18;Env A;;Non
2022;97160;2050046;flonicamide;158062-67-0;30;Autre;;Non
2022;97160;2060085;boscalid;188425-85-6;5.2;Env A;;Non
2022;97160;2060085;kresoxim-methyl;143390-89-0;2.6;CMR;;Non
2022;97160;2080102;azoxystrobine;131860-33-8;8;Santé A;;Non
2022;97160;2080102;difenoconazole;119446-68-3;5;Env A;;Non
2022;97160;2100122;chlorantraniliprole;500008-45-7;3.57;Env A;;Non
2022;97160;2110012;cyazofamide;120116-88-3;4.8;Env A;;Non
2022;97160;2130079;cyflufenamid;180409-60-3;3;Env A;;Non
2022;97160;2140147;deltamethrine;52918-63-5;4.5;Santé A;;Non
2022;97160;2140201;cyflufenamid;180409-60-3;1.05;Env A;;Non
2022;97160;2140201;difenoconazole;119446-68-3;8.75;Env A;;Non
2022;97160;2189996;azadirachtine;11141-17-6;5.98;CMR;;Non
2022;97160;2190016;pyrimicarbe;23103-98-2;10;CMR;;Non
2022;97160;2190016;tau-fluvalinate;102851-06-9;3.6;Env A;;Non
2022;97160;2200274;cyprodinyl;121552-61-2;93.75;Env A;;Non
2022;97160;2200274;fludioxonil;131341-86-1;62.5;Env A;;Non
2022;97160;9400083;2,4-mcpa;94-74-6;1;Env A;;Non
2022;97160;9400083;dichlorprop-p;15165-67-0;0.5;Autre;;Non
2022;97160;9400083;mecoprop-p (mcpp-p);16484-77-8;0.5;Env A;;Non
2022;97160;9800336;lambda-cyhalothrine;91465-08-6;7;Santé A;Substitution;Non
2022;97160;9800474;cuivre du sulfate de cuivre;8011-63-0;522;Env A;Substitution;Non
2022;97190;2110150;huile de colza;8002-13-9;0.19425;Autre;;Non
2022;97190;2170243;acide pelargonique;112-05-0;0.4;Autre;;Non
