annee;code_postal_acheteur;amm;substance;cas;quantite_substance;classification;classification_mention;achat_etranger
2022;14460;2010240;florasulame;145701-23-1;0.05;Env A;;Non
2022;14220;2160724;difenoconazole;119446-68-3;3.125;Env A;;Non
2022;14220;2160752;pyridate;55512-33-9;24;Env A;;Non
2022;14220;2160818;soufre;7704-34-9;40;Autre;;Non
2022;14220;2160920;fluroxypyr-meptyl;81406-37-3;12.6425;Env A;;Non
2022;14220;2160920;metsulfuron-methyl;74223-64-6;0.325;Env A;Substitution;Non
2022;14220;2160920;thifensulfuron-methyle;79277-27-3;1.95;Env A;;Non
2022;14220;2160931;bixafen;581809-46-3;43.2900;Env A;;Non
2022;14220;2160931;fluopyram;658066-35-4;43.2900;Env A;;Non
2022;14220;2160931;prothioconazole;178928-70-6;86.580;Env A;;Non
2022;14220;2160936;cloquintocet-mexyl;99607-70-2;0.504;Autre;;Non
2022;14220;2160936;fluroxypyr-meptyl;81406-37-3;16.926;Env A;;Non
2022;14220;2160936;halauxifen-methyl;943831-98-9;0.525;Env A;;Non
2022;14220;2160937;cloquintocet-mexyl;99607-70-2;1.152;Autre;;Non
2022;14220;2160937;florasulame;145701-23-1;0.960;Env A;;Non
2022;14220;2160937;halauxifen-methyl;943831-98-9;1.20000;Env A;;Non
2022;14220;2160953;cloquintocet-mexyl;99607-70-2;0.5;Autre;;Non
2022;14220;2160953;pinoxaden;243973-20-8;2;CMR;;Non
2022;14220;2160959;benzovindiflupyr;1072957-71-1;7.875;Santé A;Substitution;Non
2022;14220;2160959;prothioconazole;178928-70-6;15.75;Env A;;Non
2022;14220;2160976;prosulfuron;94125-34-5;0.3;Env A;Substitution;Non
2022;14220;2161016;azoxystrobine;131860-33-8;2.5;Santé A;;Non
2022;14220;2161068;mesotrione;104206-82-8;1.125;CMR;;Non
2022;14220;2161068;nicosulfuron;111991-09-4;0.45;Env A;;Non
2022;14220;2161101;fluxapyroxad;907204-31-3;27;Santé A;;Non
2022;14220;2161101;pyraclostrobine;175013-18-0;54;Santé A;;Non
2022;14220;2170055;dicamba;1918-00-9;2.4;Env B;;Non
2022;14220;2170149;cypermethrine;52315-07-8;5;Env A;;Non
2022;14220;2170158;dimethenamide-p (dmta-p);163515-14-8;23.310;Env A;;Non
2022;14220;2170158;quinmerac;90717-03-6;11.690;Env A;;Non
2022;14220;2170208;iodosulfuron-methyl-sodium;144550-36-7;0.036;Env A;;Non
2022;14220;2170208;mefenpyr-diethyl;135590-91-9;0.54;Autre;;Non
2022;14220;2170208;mesosulfuron-methyl;208465-21-8;0.18;Env A;;Non
2022;14220;2170216;cloquintocet-mexyl;99607-70-2;1.4;Autre;;Non
2022;14220;2170216;diflufenicanil;83164-33-4;5.6;Env B;;Non
2022;14220;2170216;florasulame;145701-23-1;0.28;Env A;;Non
2022;14220;2170216;iodosulfuron-methyl-sodium;144550-36-7;0.7;Env A;;Non
2022;14220;2170238;iodosulfuron-methyl-sodium;144550-36-7;0.12;Env A;;Non
2022;14220;2170238;mefenpyr-diethyl;135590-91-9;0.36;Autre;;Non
2022;14220;2170238;mesosulfuron-methyl;208465-21-8;0.12;Env A;;Non
2022;14220;2170263;cypermethrine;52315-07-8;0.5;Env A;;Non
2022;14220;2170381;mesotrione;104206-82-8;7.00;CMR;;Non
2022;14220;2170381;terbuthylazine;5915-41-3;33.00;Env A;;Non
2022;14220;2170421;mesotrione;104206-82-8;1.5;CMR;;Non
2022;14220;2170423;mesotrione;104206-82-8;4.5;CMR;;Non
2022;14220;2170424;mesotrione;104206-82-8;3.5;CMR;;Non
2022;14220;2170425;mesotrione;104206-82-8;2;CMR;;Non
2022;14220;2170429;fenpropidine;67306-00-7;69.00;Env A;;Non
2022;14220;2170429;prochloraze;67747-09-5;92;Env A;;Non
2022;14220;2170429;tebuconazole;107534-96-3;46.0;CMR;;Non
2022;14220;2170700;prothioconazole;178928-70-6;0.009;Env A;;Non
2022;14220;2170700;tebuconazole;107534-96-3;0.0012;CMR;;Non
2022;14220;2170712;azoxystrobine;131860-33-8;1;Santé A;;Non
